post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
194348579.cultivating-seeds-of-truth,2026-04-16T03:12:51.775Z,true,2026-04-16T03:12:51.935Z,2026-04-16T03:12:51.935Z,newsletter,everyone,Cultivating Seeds of Truth,What we're doing to make uncensored media and controversial research more accessible.,
190849001.ufo-disclosure-explained-new-solutions,2026-03-13T15:57:41.704Z,true,2026-03-13T15:57:41.926Z,2026-03-13T15:57:41.926Z,newsletter,everyone,UFO Disclosure Explained: New Solutions for Humanity w/ Daniel Sheehan and Amber Yang (Video),A visually impactful 23-minute educational video exploring the unprecedented UFO disclosure movement now underway to declassify reality.,
188495322.epstein-files-pt-2-beyond-sex-traffickingzorro,2026-02-19T14:34:15.188Z,true,2026-02-19T14:34:15.354Z,2026-02-19T14:34:15.354Z,newsletter,everyone,Epstein Files Pt. 2: Beyond Sex Trafficking—Zorro Ranch and a Darker Scientific Agenda,"Epstein’s deep ties to the scientific and banking elite–and their active exploration of eugenics, designer babies, human cloning, social engineering, and other human experimentation practices.",
187703736.epstein-files-pt-1-what-official,2026-02-12T02:35:38.796Z,true,2026-02-12T02:35:38.951Z,2026-02-12T02:35:38.951Z,newsletter,everyone,"Epstein Files Pt. 1: What Official Documents Are Revealing About Elite Child Trafficking, Sexual Blackmail, and Mind Control","A revealing FBI report regarding an alleged Epstein victim, and a brief and verifiable history of high-level trafficking, rape, torture and murder of children for sexual blackmail and mind control.",
186353096.turning-30-reflections-on-transforming,2026-01-31T17:00:24.603Z,true,2026-01-31T17:00:24.745Z,2026-01-31T17:00:24.745Z,newsletter,everyone,Turning 30: My Reflections on Transforming a Divided and Violent World | Introduction to the Season for Nonviolence,"As we enter the Season for Nonviolence, I reflect on the profound awakening and initiations that led me onto a path of personal and collective transformation.",
184676434.managing-a-society-in-crisis-a-history,2026-01-15T18:18:16.691Z,true,2026-01-15T18:18:16.852Z,2026-01-15T18:18:16.852Z,newsletter,everyone,Managing a Society in Crisis: A History of Militarized Policing in the US and the Suppression of Dissent Across the Political Spectrum,"Policymakers were warned in the 1960s that business as usual would ultimately lead to social breakdown. Instead of heeding this warning, they doubled down on authoritarian power.",
184035339.the-supreme-court-case-that-could,2026-01-09T16:29:21.634Z,true,2026-01-09T16:29:21.780Z,2026-01-09T16:29:21.780Z,newsletter,everyone,The Supreme Court Case That Could Shield Pesticide Makers From Accountability Despite Decades of Human Harm & Manipulated Science,Undeniable evidence that the billions of pounds of pesticides sprayed on our food each year harm & kill humans—& how that evidence was suppressed while science was repurposed as a corporate weapon.,
183917365.how-the-deep-state-won-the-war-on,2026-01-08T15:25:41.428Z,true,2026-01-08T15:25:41.638Z,2026-01-08T15:25:41.638Z,newsletter,everyone,How The Deep State Won the War on Drugs: A Complete Timeline,"The war on drugs operates as a pipeline to feed big banks, CIA covert wars and black budget programs, cartels, and mass incarceration while maintaining rather than disrupting the drug trade. ",
183159654.dancing-through-the-seasons-of-2025,2026-01-01T17:53:20.251Z,true,2026-01-01T17:53:20.434Z,2026-01-01T17:53:20.434Z,newsletter,everyone,Dancing Through the Seasons of 2025: 'What Good is Freedom If We Don't Feel It?',"Dance is one of the oldest human technologies for freedom and raising consciousness—pulling us into direct experience and awakening our capacity to feel, heal, connect, come alive.",
182633568.the-most-important-gift-this-season,2025-12-26T15:41:45.701Z,true,2025-12-26T15:41:45.834Z,2025-12-26T15:41:45.834Z,newsletter,everyone,The Most Important Gift This Season is the Creative Genius in You,6-minute message that reflects on the deeper meaning of gifts during this holiday season.,
182454905.3-inspiring-stories-on-what-helps,2025-12-23T20:20:24.612Z,true,2025-12-23T20:20:24.831Z,2025-12-23T20:20:24.831Z,newsletter,everyone,3 Inspiring Stories on What Helps Us Heal and Live Well in Dark Times,"“Despite the awesome powers of technology, many of us still do not live very well. We may need to listen to one another’s stories again.” — Dr. Rachel Remen",
180318463.navigating-media-propaganda-and-awakening,2025-11-30T14:52:25.267Z,true,2025-11-30T14:52:25.409Z,2025-11-30T14:52:25.409Z,newsletter,everyone,Navigating Media Propaganda & Awakening Solutions for a Regenerative Future | Presentation by WTK Director Amber Yang,"I draw on my work with WantToKnow.info, restorative justice, and media literacy to explore the challenges facing our media and public health systems + empowering media tools and solutions.",
180318457.231,,false,,,newsletter,only_paid,,,
177995605.beyond-fear-series-how-consciousness,2025-11-04T16:24:15.299Z,true,2025-11-04T16:24:15.721Z,2025-11-04T16:24:15.721Z,newsletter,everyone,Beyond Fear Series | How Consciousness Research Can Help Heal a Divided World,"A society that can self-regulate, self-heal, and access deeper layers of perception is harder to manipulate and even harder to govern through fear. ",
175448140.are-we-ready-for-the-consciousness,2025-10-06T17:10:48.436Z,true,2025-10-06T17:10:48.560Z,2025-10-06T17:10:48.560Z,newsletter,everyone,Are We Ready for the Consciousness Shift Jane Goodall Embodied?,"To be transformed by the mystical experience of awe and wonder • To engage across differences without enemy-making | How can activism become a force for healing, not just opposition and resistance?",
174544842.a-metaphor-for-bridging-the-deep,2025-09-25T16:36:52.811Z,true,2025-09-25T16:36:52.946Z,2025-09-25T16:36:52.946Z,newsletter,everyone,A Metaphor for Bridging the Deep Divides,"What are the Ultimate Truths guiding your life, relationships, work, and activism?",
172807792.ufo-disclosure-breakthrough-technology,2025-09-04T17:37:01.526Z,true,2025-09-04T17:37:01.648Z,2025-09-04T17:37:01.648Z,newsletter,everyone,UFO Disclosure: Breakthrough Technology and Awakening Human Consciousness | 26-min Video,The unprecedented push for UFO disclosure is awakening humanity to the most transformative story of our lifetime.,
171216424.copy-inspiring-remedies-to-the-chronic,,false,,,newsletter,everyone,,,
170533915.beyond-fear-series-the-social-media,2025-08-18T13:01:30.850Z,true,2025-08-18T13:01:30.947Z,2025-08-18T13:01:30.947Z,newsletter,everyone,Beyond Fear Series | The Social Media Platform Transforming Division Into Common Ground,"Taiwan’s bold experiment, vTaiwan, shows what happens when technology is harnessed as a listening tool for the radical purpose of bringing people together across differences.",
170395284.how-geoengineering-went-from-top,2025-08-10T13:02:47.372Z,true,2025-08-10T13:02:47.489Z,2025-08-10T13:02:47.489Z,newsletter,everyone,Geoengineering is a Weapon That's Been Rebranded as Climate Science. There's a Better Way To Heal the Earth.,We don’t need to manipulate the climate with artificial technologies. We need to regenerate the Earth from the ground up.,
168856192.86f,,false,,,page,everyone,,,
168775455.the-pesticide-crisis-reveals-the,2025-07-20T14:11:32.537Z,true,2025-07-20T14:11:32.649Z,2025-07-20T14:11:32.649Z,newsletter,everyone,The Pesticide Crisis Reveals The Dark Side of Science. We Have The Solutions to Regenerate. ,"The institutions meant to protect us have turned a blind eye to a widespread, decades-long conspiracy to poison our food, land, and water. The path to healing and transformation is already here. ",
167660964.how-to-transform-a-divided-world,2025-07-06T17:17:53.331Z,true,2025-07-06T17:17:53.410Z,2025-07-06T17:17:53.410Z,newsletter,everyone,How to Transform a Divided World — It Starts with This | 20-Min Video,"What transforms a divided world isn’t just more negative news and the same old talking points. It’s the relationships that break the cycle of hate, fear, and dehumanization. ",
167146164.the-soul-of-american-democracy-celebrating,2025-06-30T13:52:09.110Z,true,2025-06-30T13:52:09.196Z,2025-06-30T13:52:09.196Z,newsletter,everyone,The Soul of American Democracy: Celebrating the Life of Bill Moyers,"Bill Moyers reminded us time and again: the real story isn’t just the personalities on stage, but the power structures behind the curtain. What his work taught me: Get curious. Peel back the layers. ",
166740296.in-a-world-of-manufactured-wars-who,2025-06-24T16:37:22.569Z,true,2025-06-24T16:37:22.660Z,2025-06-24T16:37:22.660Z,newsletter,everyone,"In a World of Manufactured Wars, Who Belongs in the Circle of Human Concern?","US, Israel, and Iran have co-created decades of collective trauma. How do we uncover the full truth beyond allegiance and ideology, and back into our shared humanity?",
163773475.we-have-the-tech-to-transform-our,2025-05-17T13:07:52.307Z,true,2025-05-17T13:07:52.391Z,2025-05-17T13:07:52.391Z,newsletter,everyone,We Have the Tech to Transform Our World w/ Joe Martino and Mark Bailey,"Technologies that could transform our economy, media, and environment already exist. Why aren't we adopting them? ",
163027239.reconnect-with-the-genuine-a-visual,2025-05-07T12:02:38.405Z,true,2025-05-07T12:02:38.542Z,2025-05-07T12:02:38.542Z,newsletter,everyone,Reconnect with the Genuine: A Visual Journey of Collective Transformation,"Interwoven with the breathtaking words of visionary civil rights leader Howard Thurman, this visual journey captures the real faces, social movements, and issues that call us back to the genuine. ",
162698333.be-a-voice-not-an-echo-3-min-dance,2025-05-02T14:58:04.703Z,true,2025-05-02T14:58:04.774Z,2025-05-02T14:58:04.774Z,newsletter,everyone,"Be a Voice, Not an Echo: 3-Min Dance and Poem Video",Where does the body live in creative change?,
161234939.lonely-world-failing-systems-inspiring,2025-04-13T14:49:37.406Z,true,2025-04-13T14:49:37.487Z,2025-04-13T14:49:37.487Z,newsletter,everyone,"Lonely World, Failing Systems: Inspiring Stories Reveal What Sustains Us","If and when systems collapse, what will we choose to build together? These stories remind us where the real security and strength come from: the commons.",
160348538.transforming-media-polarization-one,2025-04-01T18:10:32.767Z,true,2025-04-01T18:10:32.883Z,2025-04-01T18:10:32.883Z,newsletter,everyone,"How to Transform Media Polarization, One Echo Chamber At A Time | 31-Min Video","Making sense of media deception and propaganda beyond partisan lines, and solutions that bring us all together. We’re taking public discourse back from the powerful forces determined to divide us.",
158388070.working-together-to-end-the-war-on,2025-03-04T19:33:15.142Z,true,2025-03-04T19:33:15.218Z,2025-03-04T19:33:15.218Z,newsletter,everyone,Beyond the War On Peace in Ukraine,What the war machine fears the most: an informed public. We're here to share the best of our verifiable research to uncover the hidden forces shaping this war and public discourse today. ,
157026436.beyond-elon-musk-how-blockchain-technology,2025-02-17T15:57:54.490Z,true,2025-02-17T15:57:54.567Z,2025-02-17T15:57:54.567Z,newsletter,everyone,How Blockchain Technology Can Fix Government Waste and Restore Financial Freedom | 13-Min Video,"The economy is rigged and no presidential administration has addressed the rampant waste, fraud, and abuse in the system. The good news is that we have the technology to create a better system. ",
155368044.transforming-the-war-machine-one,2025-01-22T13:03:26.872Z,true,2025-01-22T13:03:26.976Z,2025-01-22T13:03:26.976Z,newsletter,everyone,"Transforming the War Machine, One Human Story at a Time | 25-Min Video","War destroys. These powerful real-life stories show that we can heal, reimagine better alternatives, and plant the seeds of a global shift in consciousness to transform our world.",
153629061.beyond-fear-the-bigger-picture-ufos,2024-12-26T13:01:51.075Z,true,2024-12-26T13:01:51.214Z,2024-12-26T13:01:51.214Z,newsletter,everyone,"Beyond Fear: The Bigger Picture, UFOs, and Humanity's Incredible Potential with Daniel Sheehan and Sara Nelson",A storytelling circle rich with powerful reflections and engaging visuals. Join us as we each share what inspires our activism and vision for humanity no matter how much darkness we encounter.,
